ticker,price,wk52_high,wk52_low,pos_in_range,rsi,sector,pe,tier,permanent_exit,error,ivr,entry_ok,held,held_accounts,held_puts,held_calls,real_yield
BROS,52.02,74.24,46.69,19.3,21.7,Consumer Cyclical,71.26027,Unmapped,False,,93.0,True,False,,0,0,"{'strike': 45.0, 'dte': 27, 'premium': 22.5, 'collateral': 4500.0, 'annualized_pct': np.float64(6.8)}"
BRK.B,,,,,,,,,,no_history,,,False,,0,0,
BMY,63.83,65.89,42.6,91.2,55.8,Healthcare,14.059472,Unmapped,False,,72.6,True,False,,0,0,
BLK,1173.73,1202.59,922.9,89.7,77.8,Financial Services,28.093107,Unmapped,False,,67.4,True,False,,0,0,
BE,229.94,345.85,43.1,61.7,63.5,Industrials,302.55264,Unmapped,False,,70.0,True,True,Account A (232):4; Account B (275):1; Fidelity (Rahul):1; Fidelity (Rajul — Rollover IRA):1; Robinhood (Traditional IRA):1,6,1,
BABA,123.81,189.34,94.81,30.7,63.0,Consumer Cyclical,18.989264,Unmapped,False,,49.2,True,True,Account C (634):1; Robinhood (Traditional IRA):2,1,0,
BA,231.67,252.15,179.12,72.0,64.4,Industrials,83.33453,Unmapped,False,,82.4,True,True,Account A (232):1,1,0,
AXON,612.83,791.62,345.94,59.9,61.4,Industrials,256.4142,EMERGING,False,,90.5,True,True,Account A (232):11; Vanguard (Rahul):1,4,8,
ASTS,70.98,133.09,36.91,35.4,65.1,Technology,,SPECULATIVE,False,,28.6,False,True,Fidelity (Rahul):1; Fidelity (Rajul — Roth IRA):1,2,0,
ASML,1844.08,1989.44,725.85,88.5,67.7,Technology,62.89495,Unmapped,False,,36.5,False,False,,0,0,
APP,315.44,733.6,303.76,2.7,26.9,Communication Services,24.264616,EMERGING,False,,47.1,True,True,Account A (232):3; Robinhood (Traditional IRA):1; Vanguard (Rahul):1,3,1,"{'strike': 270.0, 'dte': 27, 'premium': 322.5, 'collateral': 27000.0, 'annualized_pct': np.float64(16.1)}"
APH,167.11,176.32,108.65,86.4,68.9,Technology,41.882206,Unmapped,False,,34.9,False,True,Account A (232):2; Fidelity (Rajul — Rollover IRA):1,3,0,
ANET,198.82,210.5,116.13,87.6,64.9,Technology,62.91772,Unmapped,False,,75.2,True,True,Account A (232):4; Account C (634):1; Fidelity (Rahul):1,3,3,
AMZN,262.65,284.02,198.79,74.9,66.4,Consumer Cyclical,21.147343,CORE,False,,93.3,True,True,Account A (232):2,2,0,
AMKR,58.99,93.55,23.0,51.0,48.0,Technology,26.452915,Unmapped,False,,87.5,True,True,Account B (275):2; Fidelity (Rahul):1; Fidelity (Rajul — Rollover IRA):1; Fidelity (Rajul — Roth IRA):1; Robinhood (Traditional IRA):1,5,0,
ALB,136.15,215.62,72.58,44.4,77.8,Basic Materials,504.25922,Unmapped,False,,7.4,False,True,Account A (232):2; Account C (634):1; Vanguard (Rahul):1,4,0,
ALAB,321.61,483.02,100.27,57.8,58.2,Technology,158.42857,EMERGING,False,,75.9,True,True,Account A (232):4; Account B (275):1; Fidelity (Rahul):2; Robinhood (Traditional IRA):1,6,1,
ABNB,184.06,185.13,111.54,98.5,82.5,Consumer Cyclical,42.215595,EMERGING,False,,100.0,True,True,Account B (275):1; Account C (634):2; Vanguard (Rahul):2,2,3,
ABBV,249.46,263.3,197.38,79.0,41.0,Healthcare,70.468925,Unmapped,False,,35.4,False,False,,0,0,
AAPL,305.93,340.08,224.9,70.4,26.0,Technology,35.083714,Unmapped,False,,70.4,True,False,,0,0,
